,cip_code,total_graduates,knowledge_rate,career_outcomes_perc,total_perc_employed_overall,total_perc_employed_full_time,total_perc_employed_part_time,perc_standard_employment_overall,perc_standard_full_time,perc_standard_part_time,perc_entrepreneur_overall,perc_entrepreneur_full_time,perc_entrepreneur_part_time,perc_temp_contract_overall,perc_temp_contract_full_time,perc_temp_contract_part_time,perc_freelance_overall,perc_freelance_full_time,perc_freelance_part_time,perc_fellowship_intern_overall,perc_fellowship_intern_full_time,perc_fellowship_intern_part_time,perc_service,perc_military,perc_continuing_ed,perc_seeking_employment,perc_seeking_continuing_ed,perc_not_seeking,mean_starting_salary,year,perc_still_seeking_overall,CIPCode,CIPTitle
54,14.36,128,61.7,94.9,87.3,83.5,3.8,81.0,78.5,2.5,1.3,1.3,0.0,2.5,2.5,0.0,2.5,1.3,1.3,0.0,0.0,0.0,0.0,0.0,7.6,5.1,0.0,0.0,59565,2016,,14.36,Manufacturing Engineering.
55,14.37,147,85.0,98.4,87.2,87.2,0.0,84.8,84.8,0.0,0.8,0.8,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,0.0,0.8,8285,2016,,14.37,Operations Research.
56,14.39,163,84.0,87.0,54.7,54.0,0.7,52.6,51.8,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.7,0.0,0.0,1.5,27.0,12.4,0.0,4.4,56322,2016,,14.39,Geological/Geophysical Engineering.
57,14.42,131,75.6,76.5,56.6,51.5,5.1,53.5,48.5,5.1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,22.2,1.0,1.0,58314,2016,,14.42,"Mechatronics, Robotics, and Automation Engineering."
58,14.45,926,75.7,8.6,47.5,44.1,3.4,42.4,39.5,2.9,1.4,1.4,0.0,2.3,2.0,0.3,0.0,0.0,0.0,1.4,1.1,0.3,0.3,0.3,31.2,13.7,5.4,1.6,55166,2016,,14.45,Biological/Biosystems Engineering.
59,15.02,112,78.6,91.9,84.1,81.8,2.3,84.1,81.8,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,8.0,0.0,2.3,5219,2016,,15.02,Civil Engineering Technologies/Technicians.
60,15.03,491,66.0,89.3,79.6,78.1,1.5,76.9,75.3,1.5,1.2,1.2,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,1.2,6.8,1.5,0.0,1.9,6112,2016,,15.03,Electrical Engineering Technologies/Technicians.
61,15.05,257,91.4,53.8,47.7,47.7,0.0,47.2,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,3.8,41.7,2.6,4.3,6694,2016,,15.05,Environmental Control Technologies/Technicians.
62,15.06,34,68.8,87.4,76.9,76.1,0.9,73.5,72.6,0.9,3.0,3.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,8.5,12.0,0.4,1.7,61973,2016,,15.06,Industrial Production Technologies/Technicians.
63,15.07,196,54.1,91.5,62.3,58.5,3.8,56.6,54.7,1.9,1.9,1.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,2.8,0.9,1.9,0.0,0.0,29.2,7.5,0.9,0.0,63898,2016,,15.07,Quality Control and Safety Technologies/Technicians.
64,15.12,41,87.8,1.0,94.4,77.8,16.7,88.9,72.2,16.7,0.0,0.0,0.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,5461,2016,,15.12,Computer Engineering Technologies/Technicians.
65,15.13,134,58.2,93.6,92.3,87.2,5.1,88.5,85.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.3,2.6,0.0,0.0,0.0,0.0,0.0,1.3,6.4,0.0,0.0,5351,2016,,15.13,Drafting/Design Engineering Technologies/Technicians.
66,15.15,598,78.4,89.3,81.4,79.1,2.3,76.5,74.4,2.1,1.7,1.7,0.0,2.1,1.9,0.2,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.4,5.3,8.5,1.9,2.3,6531,2016,,15.15,Engineering-Related Fields.
67,15.08,897,68.8,84.8,79.1,76.5,2.6,76.2,74.4,1.8,1.0,0.8,0.2,0.0,0.8,0.5,0.2,0.0,0.2,0.5,0.5,0.0,0.0,1.6,2.6,14.4,0.5,1.8,61141,2016,,15.08,Mechanical Engineering Related Technologies/Technicians.
68,15.10,117,74.4,97.6,94.3,92.0,2.3,92.0,89.7,2.3,1.1,1.1,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.3,0.0,2.3,56857,2016,,15.10,Construction Engineering Technologies.
69,16.03,337,57.3,68.1,5.8,45.1,5.7,43.0,38.3,4.7,1.0,0.5,0.5,4.7,4.7,0.0,0.5,0.5,0.0,1.6,1.0,0.5,1.0,1.6,13.0,24.4,6.7,2.6,2812,2016,,16.03,"East Asian Languages, Literatures, and Linguistics."
70,16.04,98,64.3,83.3,52.4,39.7,12.7,36.5,31.7,4.8,1.6,0.0,1.6,4.8,3.2,1.6,1.6,0.0,1.6,7.9,4.8,3.2,1.6,4.8,2.6,7.9,7.9,4.8,45735,2016,,16.04,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics."
71,16.05,28,58.7,85.1,54.9,49.2,5.7,48.4,44.3,4.1,0.0,0.0,0.0,1.6,0.8,0.8,1.6,1.6,0.0,3.3,2.5,0.8,1.6,0.0,27.9,1.7,4.1,0.8,38152,2016,,16.05,"Germanic Languages, Literatures, and Linguistics."
72,16.09,2515,66.2,8.5,53.4,44.6,8.8,45.7,39.4,6.3,0.6,0.6,0.0,3.2,1.9,1.3,0.4,0.2,0.2,3.5,2.5,1.0,4.5,0.5,2.4,11.7,7.3,2.2,38995,2016,,16.09,"Romance Languages, Literatures, and Linguistics."
73,16.16,116,36.2,88.1,64.3,5.0,14.3,5.0,4.5,9.5,0.0,0.0,0.0,4.8,4.8,0.0,9.5,4.8,4.8,0.0,0.0,0.0,0.0,0.0,23.8,9.5,2.4,0.0,3232,2016,,16.16,American Sign Language.
74,16.01,1437,65.4,75.1,51.4,41.1,1.3,42.6,35.3,7.2,0.5,0.4,0.1,4.8,2.3,2.4,0.2,0.2,0.0,3.3,2.8,0.5,1.7,0.5,19.1,15.1,9.0,3.1,35737,2016,,16.01,"Linguistic, Comparative, and Related Language Studies and Services."
75,19.01,92,53.0,72.3,57.5,51.3,6.3,51.5,46.0,5.4,1.3,1.0,0.2,2.3,1.9,0.4,0.2,0.2,0.0,2.3,2.1,0.2,0.4,0.2,13.0,21.1,6.1,1.7,35759,2016,,19.01,"Family and Consumer Sciences/Human Sciences, General."
76,19.05,137,47.8,79.8,47.2,39.3,7.9,41.5,34.9,6.7,0.6,0.6,0.0,2.2,1.4,0.8,0.8,0.6,0.2,2.0,1.8,0.2,1.6,0.0,29.4,11.9,7.9,2.0,31644,2016,,19.05,"Foods, Nutrition, and Related Services."
77,19.06,142,34.5,73.5,63.3,57.1,6.1,44.9,42.9,2.0,4.1,4.1,0.0,4.1,4.1,0.0,2.0,2.0,0.0,8.2,4.1,4.1,4.1,0.0,6.1,26.5,0.0,0.0,34253,2016,,19.06,Housing and Human Environments.
78,19.07,3645,55.1,74.3,5.9,43.3,7.6,47.2,4.9,6.3,0.5,0.4,0.1,2.2,1.2,0.9,0.3,0.2,0.1,0.6,0.5,0.1,1.1,0.1,2.7,15.6,9.6,2.0,32888,2016,,19.07,"Human Development, Family Studies, and Related Services."
79,19.09,235,83.0,86.5,82.1,74.9,7.2,74.4,69.2,5.1,2.1,1.5,0.5,1.5,1.0,0.5,0.5,0.0,0.5,3.6,3.1,0.5,0.5,0.0,2.6,13.3,0.0,1.5,3951,2016,,19.09,Apparel and Textiles.
80,22.03,135,35.6,88.9,68.8,5.0,18.8,68.8,5.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,1.4,0.0,6.3,3525,2016,,22.03,Legal Support Services.
81,23.01,775,63.4,8.1,58.4,48.5,9.9,5.3,42.5,7.8,1.1,0.9,0.2,2.9,2.0,0.9,0.9,0.4,0.5,3.1,2.6,0.5,1.8,0.2,18.1,14.6,5.0,1.9,3631,2016,,23.01,"English Language and Literature, General."
82,23.13,1675,75.8,61.0,47.7,38.9,8.7,41.7,35.1,6.5,0.6,0.5,0.2,1.7,1.1,0.6,1.5,0.6,0.9,2.1,1.6,0.6,1.4,0.1,1.3,3.0,8.0,2.4,3445,2016,,23.13,Rhetoric and Composition/Writing Studies.
83,23.14,751,69.0,61.3,45.6,39.2,6.4,39.2,34.4,4.8,0.2,0.2,0.0,2.3,1.4,1.0,1.5,1.2,0.4,2.3,2.1,0.2,0.8,0.4,12.5,2.5,17.0,3.3,41559,2016,,23.14,Literature.
84,26.01,16761,64.8,76.6,4.2,34.8,5.5,35.7,31.2,4.5,0.4,0.3,0.1,2.2,1.6,0.6,0.1,0.1,0.0,1.8,1.6,0.2,1.3,0.4,33.4,1.4,12.7,1.6,34171,2016,,26.01,"Biology, General."
85,26.02,3991,61.5,76.7,38.1,32.5,5.5,32.0,27.9,4.1,0.6,0.4,0.1,2.8,2.0,0.9,0.2,0.1,0.1,2.5,2.1,0.4,1.1,0.6,35.5,1.2,12.7,1.8,37889,2016,,26.02,"Biochemistry, Biophysics and Molecular Biology."
86,26.04,1294,5.2,79.1,47.0,38.4,8.6,41.1,34.4,6.8,0.5,0.3,0.2,2.8,2.0,0.8,0.2,0.0,0.2,2.5,1.7,0.8,0.9,0.3,3.5,5.7,15.1,0.5,38664,2016,,26.04,Cell/Cellular Biology and Anatomical Sciences.
87,26.05,1115,64.3,7.5,42.8,38.4,4.5,37.8,35.1,2.6,0.1,0.1,0.0,3.1,1.7,1.4,0.1,0.1,0.0,1.7,1.3,0.4,0.8,0.0,25.5,14.9,14.1,1.8,29762,2016,,26.05,Microbiological Sciences and Immunology.
88,26.09,1962,65.4,71.8,34.2,28.4,5.8,3.0,25.8,4.2,0.3,0.2,0.1,2.5,1.2,1.2,0.2,0.2,0.1,1.2,1.0,0.2,0.5,0.8,34.3,1.4,17.1,2.8,347,2016,,26.09,"Physiology, Pathology and Related Sciences."
89,26.11,9,88.9,68.8,4.0,38.8,1.3,38.8,37.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,1.3,0.0,25.0,22.5,7.5,3.8,47682,2016,,26.11,"Biomathematics, Bioinformatics, and Computational Biology."
90,26.12,15,74.7,83.9,54.5,5.0,4.5,49.1,45.5,3.6,1.8,0.9,0.9,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,28.6,11.6,4.5,0.0,47582,2016,,26.12,Biotechnology.
