,cip_code,earnings.highest.1_yr.male_median_earnings,earnings.highest.1_yr.nonmale_median_earnings,earnings.highest.1_yr.overall_median_earnings,earnings.highest.3_yr.male_median_earnings,earnings.highest.3_yr.nonmale_median_earnings,earnings.highest.2_yr.overall_median_earnings,CIPCode,CIPTitle
247,39.02,31073.92708333333,24796.071428571428,28009.68154761905,35030.90476190476,21549.91176470588,28678.65909090909,39.02,Bible/Biblical Studies.
248,39.03,31922.0,25795.75,26713.5,,,29979.25,39.03,Missions/Missionary Studies and Missiology.
249,39.04,39100.6,26900.0625,29249.022727272728,39559.4,29682.7,30761.375,39.04,Religious Education.
250,39.05,38514.0,30079.0,30408.375,48787.25,29347.5,33032.2,39.05,Religious/Sacred Music.
251,39.06,41926.50666666667,40778.45277777778,40354.23363095238,47069.04666666667,43338.161458333336,43781.67002164502,39.06,Theological and Ministerial Studies.
252,39.07,31988.071428571428,32634.166666666668,30833.58,37710.181818181816,30863.35714285714,29701.127604166668,39.07,Pastoral Counseling and Specialized Ministries.
253,39.99,45826.875,32858.0,39808.92307692308,45723.833333333336,31212.166666666668,42186.57142857143,39.99,"Theology and Religious Vocations, Other."
254,40.01,33215.375,25042.0,31821.458333333336,32926.75,31610.166666666668,30458.590909090908,40.01,Physical Sciences.
255,40.02,44255.5,,35404.75,42356.0,,35354.4,40.02,Astronomy and Astrophysics.
256,40.04,34473.75,,36088.90909090909,44709.0,,34406.049019607846,40.04,Atmospheric Sciences and Meteorology.
257,40.05,39297.38703651421,36440.43813131313,38534.01947403231,50670.19797979798,41910.66944444445,39673.81766149963,40.05,Chemistry.
258,40.06,39901.128787878784,34727.66470588236,37758.68246090644,45881.1217948718,48054.19047619047,36923.620754716976,40.06,Geological and Earth Sciences/Geosciences.
259,40.08,43978.881834215164,,41634.59904761905,58584.8875,20527.0,45944.52260981912,40.08,Physics.
260,40.10,,,,,,57180.5,40.10,Materials Sciences.
261,40.11,,,,,,,,
262,40.99,51850.0,52312.0,38982.0,,25503.0,38170.0,40.99,"Physical Sciences, Other."
263,41.00,60156.0,,60154.0,,,,41.00,"Science Technologies/Technicians, General."
264,41.01,,,43580.0,,,42086.333333333336,41.01,Biology Technician/Biotechnology Laboratory Technician.
265,41.02,51476.0,,55523.66666666666,74760.0,,55885.0,41.02,Nuclear and Industrial Radiologic Technologies/Technicians.
266,41.03,56728.07142857143,33921.5,53584.25,84694.16666666667,44004.25,57722.7,41.03,Physical Science Technologies/Technicians.
267,41.99,48524.42857142857,41464.083333333336,45142.45,58558.28571428572,55694.16666666666,52148.0925925926,41.99,"Science Technologies/Technicians, Other."
268,42.01,31277.335785821502,29532.289748721632,29597.182980922506,37529.82144180606,36011.063145905755,30868.735378593123,42.01,"Psychology, General."
269,42.02,,,,,,,,
270,42.04,,,,,,,,
271,42.27,30211.333333333336,32043.05510752688,33564.18524774775,42984.02777777778,41480.632666666665,33362.83774509804,42.27,Research and Experimental Psychology.
272,42.28,50863.39342105263,45690.5997709611,46848.15190751308,52768.988505747126,49661.26529210759,47363.27770878694,42.28,"Clinical, Counseling and Applied Psychology."
273,42.99,44335.583333333336,44532.67647058824,43268.74206349206,42619.375,50121.32142857143,45548.59920634921,42.99,"Psychology, Other."
274,43.01,40411.250798717694,32502.94192337893,35624.89753128685,45415.83817808428,35337.82421871749,34624.17649684714,43.01,Criminal Justice and Corrections.
275,43.02,51877.80303030303,37354.25,48931.03846153846,61817.78333333334,35161.5,50549.49950980392,43.02,Fire Protection.
276,43.03,62932.07539682539,49416.625,53208.931547619046,59819.26984126984,44387.9375,51781.91132478633,43.03,Homeland Security.
277,43.04,,,,,,42467.236519607846,,
278,43.99,56029.91666666666,43511.1875,56247.1875,64748.92307692308,46548.66666666666,54088.27450980392,43.99,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other."
279,44.00,36939.05555555556,31467.237624007936,31920.95166511049,43148.6130952381,32711.13651094276,30625.331776556777,44.00,"Human Services, General."
